C1, 78.74, 4.45, 180.00, 0.1uF, C3225
C10, 88.71, 34.29, 0.00, 0.1uF, C3225
C2, 15.24, 5.08, 0.00, 22pF, C3225
C3, 10.16, 12.70, 0.00, 22pF, C3225
C4, 87.63, 4.45, 0.00, 0.1uF, C3225
C5, 55.88, 4.01, 0.00, 0.1uF, C3225
C6, 24.13, 22.86, 90.00, 4.7uF, C3225
C7, 25.40, 6.35, 211.20, 0.1uF, C3225
C8, 101.09, 38.99, 0.00, 0.1uF, C3225
C9, 88.71, 41.15, 0.00, 2.2nF, C3225
D1, 41.91, 15.24, 0.00, 0.5A 20V, SOD-323
IC1, 19.05, 35.56, 0.00, LM340MP-05, SOT223
LED1, 54.61, 27.94, 0.00, YELLOW, SML0603
LED10, 11.43, 27.94, 90.00, WHITE, SML0603
LED2, 50.80, 27.94, 0.00, RED, SML0603
LED3, 46.99, 27.94, 0.00, GREEN, SML0603
LED4, 48.77, 30.73, 0.00, BLUE, SML0603
LED5, 54.61, 43.18, 0.00, WHITE, SML0603
LED6, 72.39, 43.18, 0.00, WHITE, SML0603
LED7, 105.41, 27.94, 254.70, WHITE, SML0603
LED8, 62.23, 4.01, 0.00, WHITE, SML0603
LED9, 40.64, 4.01, 0.00, WHITE, SML0603
R1, 31.75, 35.56, 90.00, 1K, M1206
R2, 54.61, 30.48, 0.00, 1K, M1206
R3, 49.53, 15.24, 0.00, 330, M1206
R4, 106.93, 41.02, 180.00, 330, M1206
R5, 31.75, 21.59, 90.00, 330, M1206
R6, 16.51, 22.86, 90.00, 220, M1206
R7, 72.90, 38.59, 0.00, , M1206
R8, 66.42, 38.59, 0.00, , M1206
S1, 82.55, 30.48, 0.00, B3U-1000P, SW_B3U-1000P
U1, 62.87, 17.78, 180.00, ATMEGA328P-AU, QFP80P900X900X120-32N
U2, 98.04, 29.59, 251.40, FT232RL, SSOP28DB
U4, 81.80, 38.59, 0.00, MPU-6050-1, QFN-24-4MM2
